CASEID,RESPONSE,RESIDUAL,TOTAL_INDEX_CRIME_RATES_PER_100K,PERCENT_HISPANIC_FEMALE,PERCENT_WHITE_MALE,PERCENT_NATIVE_HAWAIIN_FEMALE,PERCENT_OF_PARAPHERNALIA_DRUG_ARRESTS,PERCENT_NEEDLE_SYRINGE_ARRESTS,PERCENT_AMERICAN_INDIAN_FEMALE,PERCENT_ASAIN_FEMALE,PERCENT_CANNABIS_ARRESTS,PERCENT_AMERICAN_INDIAN_MALE,PERCENT_BLACK_MALE,PERCENT_WHITE_FEMALE,PERCENT_CONTROLLED_SUBSTANCE_ARRESTS,PERCENT_TWO_OR_MORE_RACES_MALE,UNEMPLOYMENT_RATE,PERCENT_OF_METH_ARRESTS,PERCENT_NATIVE_HAWAIIN_MALE,POPULATION_PERCENT_MALE,PERCENT_TWO_OR_MORE_RACES_FEMALE,PERCENT_ASAIN_MALE,PERCENT_BLACK_FEMALE,PERCENT_HISPANIC_MALE,HTS_PER_100K,SEXUAL_ASSAULT_PER_100K,ARSON_PER_100K,MVT_PER_100K,BURGLARY_PER_100K,COUNTY,POPULATION,HOMOCIDES_PER_100K,BATTERY_ASSAULT_PER_100K,HTIS_PER_100K,YEAR,THEFT_PER_100K,ROBBERY_PER_100K
374,289.343,-173.843,115.5,0.00542953,0.49105,0.000138039,0.428571,0,0.000828234,0.00193254,46.4286,0.0014264,0.00230065,0.494962,10.7143,0.00404914,5.7,0,0.000230065,0.496894,0.00414117,0.00161045,0.00110431,0.0049694,0,0,0,3.98232,35.8409,"SHELBY",25111,0,7.96464,0,2016,67.6994,0
375,878.32,-293.32,585,0.00852685,0.484216,0,0.352941,0,0.00126996,0.00308418,47.0588,0.00126996,0.0032656,0.49365,17.6471,0.00780116,7.4,0,0,0.49111,0.00689405,0.00199565,0.00399129,0.00634978,0,0,0,42.8082,142.694,"STARK",7008,0,0,0,2016,399.543,0
376,1915.59,-95.3868,1820.2,0.017867,0.430873,0.000175813,0.323529,3.78151,0.00131859,0.00353823,37.395,0.00127464,0.0488759,0.443597,26.4706,0.0132299,5.9,0,0.000241742,0.484979,0.0151858,0.00294486,0.0512054,0.019713,0,30.9202,22.6748,55.6563,439.067,"STEPHENSON",48512,0,61.8404,0,2016,1185.27,24.7361
377,1636.56,208.938,1845.5,0.0104829,0.478564,0.000156796,0.439783,1.62382,0.00134397,0.0053012,33.7618,0.00175462,0.00804139,0.48951,17.7943,0.00671983,6.4,2.84168,0.000186662,0.492459,0.00703342,0.00353911,0.00419616,0.0123943,0,43.2823,14.9249,29.1036,335.811,"TAZEWELL",134004,1.49249,207.456,0,2016,1193.25,20.1487
378,1292.74,135.164,1427.9,0.0226834,0.483017,0.000292312,0.342342,9.00901,0.00239696,0.00274773,14.4144,0.00397545,0.00707395,0.486174,24.3243,0.00853552,7.4,18.018,0.000116925,0.496931,0.00736627,0.00210465,0.00409237,0.0287051,0,32.6993,0,43.5991,234.345,"UNION",18349,0,147.147,0,2016,942.831,27.2494
379,3955.72,313.381,4269.1,0.0230463,0.417408,0.000127398,0.206967,0,0.00192371,0.00500675,19.6721,0.00180905,0.0727444,0.418503,39.1393,0.0118735,7.3,20.4918,0.000191097,0.496522,0.0121283,0.00372003,0.0657885,0.026639,0,80.0457,16.5174,121.974,1160.03,"VERMILION",78705,8.89397,583.19,0,2016,2173.94,124.516
380,1607.29,276.207,1883.5,0.00909721,0.486657,8.66401e-05,0.525641,7.69231,0.00112632,0.00459193,14.1026,0.00147288,0.00502513,0.484665,16.6667,0.00771097,6.3,8.97436,0.00034656,0.500953,0.00554497,0.00675793,0.0030324,0.0149021,0,0,8.7604,35.0416,280.333,"WABASH",11415,0,113.885,0,2016,1427.95,17.5208
381,1563.82,99.8754,1663.7,0.0434255,0.459813,0.000867353,0.4625,1.25,0.00185035,0.00890482,37.5,0.002949,0.0163062,0.47317,12.5,0.00896265,5.3,2.5,0.00104082,0.493871,0.00890482,0.0131838,0.0124321,0.0510003,0,52.3177,15.6953,62.7812,350.528,"WARREN",19114,0,162.185,0,2016,1004.5,15.6953
382,975.884,101.516,1077.4,0.00747585,0.491854,7.05268e-05,0.433155,5.34759,0.000564215,0.00296213,14.9733,0.000987376,0.00507793,0.487129,30.4813,0.00571267,3.8,5.88235,0.000141054,0.500247,0.00514846,0.00218633,0.00387898,0.00641794,0,6.60982,0,59.4884,178.465,"WASHINGTON",15129,0,211.514,0,2016,621.323,0
383,1031.15,332.551,1363.7,0.00749607,0.487124,6.04522e-05,0.298611,0,0.0015113,0.00344577,21.5278,0.00132995,0.00296216,0.493532,24.3056,0.00513844,8.5,24.3056,6.04522e-05,0.494438,0.00459437,0.00247854,0.00241809,0.00761697,0,24.5715,6.14288,36.8573,393.145,"WAYNE",16279,0,184.287,0,2016,700.289,18.4287
