County,Percent Hispanic Female,Percent Hispanic Male,Percent Two or More Races Female,Percent Two or More Races Male,Percent Native Hawaiin Female,Percent Native Hawaiin Male,Percent Asain Female,Percent Asain Male,Percent American Indian Female,Percent American Indian Male,Percent Black Female,Percent Black Male,Percent White Male,Percent White Female,Population Percent Male,YEAR,TOT_POP
DE WITT,1.336488042,1.451592275,0.581915846,0.703414759,0.031973398,0.019184039,0.294155263,0.185445709,0.115104233,0.159866991,0.358102059,0.620283924,48.612354521,48.957667221,49.661081980,2019,15638
DOUGLAS,3.342576254,3.856818755,0.564658432,0.544492059,0,0.005041593,0.302495589,0.337786741,0.126039829,0.196622133,0.307537182,0.357953113,48.545500378,49.231157046,49.468111923,2015,19835
DOUGLAS,3.289907234,3.938764130,0.582957368,0.588026563,0,0.005069195,0.324428448,0.375120393,0.131799057,0.192629391,0.294013281,0.385258782,48.598367719,49.069802808,49.596999037,2016,19727
DOUGLAS,3.418411534,3.963523358,0.631718376,0.616434867,0,0.005094503,0.326048194,0.351520709,0.142646085,0.198685618,0.280197667,0.397371236,48.611747924,49.009119160,49.610270518,2017,19629
DOUGLAS,3.319971220,3.875012848,0.585877274,0.621852194,0,0,0.354609929,0.344331380,0.154178230,0.215849522,0.256963717,0.390584849,48.519888992,49.172576832,49.475794018,2018,19458
DOUGLAS,3.359876702,3.950680709,0.667865399,0.688415104,0,0,0.364757257,0.380169535,0.154122784,0.251733881,0.287695864,0.400719240,48.558951965,48.856922682,49.668636013,2019,19465
DUPAGE,6.838837243,7.179236704,0.932938736,0.959395207,0.025706693,0.025813804,6.005511943,5.672610268,0.197191758,0.193335754,2.727694356,2.377654886,40.721972475,41.045019917,49.065936597,2015,933609
DUPAGE,6.898640116,7.225725257,0.959027378,0.981255423,0.025127355,0.026523319,6.125812881,5.790674100,0.198012147,0.195649746,2.748223904,2.396226172,40.615255096,40.842582491,49.101213845,2016,931256
DUPAGE,6.981774011,7.271798896,0.990577954,1.001542571,0.024831634,0.025906597,6.258431737,5.946692609,0.195105696,0.190375861,2.772435811,2.408453505,40.480615739,40.630143024,49.128474144,2017,930265
DUPAGE,7.065862710,7.328360189,1.016449770,1.024214691,0.025128148,0.028039994,6.402393321,6.109375388,0.195740725,0.193475956,2.794508906,2.442822678,40.297569040,40.415337014,49.150442115,2018,927247
DUPAGE,7.153700046,7.420678476,1.027173507,1.045918340,0.025137579,0.029579997,6.517892647,6.214183012,0.198500197,0.196116461,2.827327583,2.462399274,40.173752683,40.246348279,49.157620208,2019,922921
EDGAR,0.590808385,0.488553088,0.374936090,0.420382889,0.005680850,0.017042550,0.181787195,0.102255297,0.102255297,0.107936147,0.227233994,0.306765892,48.173606772,50.377776515,48.730330057,2015,17603
EDGAR,0.599349278,0.542268394,0.445230892,0.410982362,0.005708088,0.017124265,0.205491181,0.125577944,0.119869856,0.119869856,0.251155888,0.313944860,48.113476797,50.254009932,48.718534163,2016,17519
