Year,County,Population,Total Index Crime Rates per 100K,Unemployment Rate,Percent Hispanic Female,Percent Hispanic Male,Percent Two or More Races Female,Percent Two or More Races Male,Percent Native Hawaiin Female,Percent Native Hawaiin Male,Percent Asain Female,Percent Asain Male,Percent American Indian Female,Percent American Indian Male,Percent Black Female,Percent Black Male,Percent White Male,Percent White Female,Population Percent Male,HTIS per 100K,Arson per 100K,Percent of Meth Arrests,Percent Needle/Syringe Arrests,Percent Controlled Substance Arrests,HTS Per 100K,Percent of Paraphernalia Drug Arrests,Battery/Assault Per 100K,Sexual Assault Per 100k,Percent Cannabis Arrests,MVT Per 100K,Theft per 100K,Burglary per 100K,Robbery Per 100K,Homocides Per 100k
2015,PERRY,21672,909,7.1,0.618001022,2.346545235,0.743459876,0.971144464,0.03252637,0.03252637,0.250917708,0.306677199,0.111518981,0.269504205,0.994377585,7.908554435,46.210677942,43.083499837,54.783699642,0,0,6.493506494,2.597402597,22.943722944,0,0.346320346,119.970468808,4.6142488,33.333333333,41.528239203,618.30933924,115.356220007,4.6142488,4.6142488
2015,PIATT,16431,992,4.9,0.703363914,0.611620795,0.501529052,0.501529052,0.036697248,0.012232416,0.256880734,0.171253823,0.079510703,0.110091743,0.226299694,0.293577982,48.941896024,49.345565749,49.55351682,0,6.086056844,1.041666667,0,10.416666667,0,0.5,127.807193719,24.344227375,38.541666667,6.086056844,566.003286471,261.700444282,0,0
2015,PIKE,16022,773.9,5.1,0.487496043,0.835707502,0.405191516,0.443178221,0.018993352,0.056980057,0.151946819,0.132953466,0.088635644,0.113960114,0.158277936,1.310541311,48.502690725,49.03450459,50.142450142,0,0,0.826446281,0,9.917355372,0,0.438016529,43.689926351,6.24141805,45.454545455,12.4828361,574.210460617,118.586942953,18.724254151,0
2015,PULASKI,5815,103.2,8.8,1.184373343,1.025278416,1.378822698,1.025278416,0.017677214,0.035354428,0.212126569,0.053031642,0.282835425,0.282835425,16.634258441,15.114018031,32.82658653,33.127099169,48.347180484,0,0,0,0,0,0,0.666666667,34.393809114,0,33.333333333,0,34.393809114,34.393809114,0,0
2015,PUTNAM,5814,378.4,6.1,2.252488214,2.81124498,0.48891217,0.523834468,0.017461149,0,0.226994936,0.104766894,0.226994936,0.069844596,0.279378383,0.523834468,50.497642745,47.529247424,51.231011001,0,0,0,12.5,0,0,0.375,0,0,50,0,257.997936017,120.399036808,0,0
2015,RANDOLPH,32869,845.8,5.4,0.740718161,2.280070719,0.536487228,0.627933915,0.02133756,0.048771566,0.207279156,0.195086265,0.118880693,0.146314699,1.429616534,9.141620435,45.766018411,42.358105225,55.328293605,0,6.084760717,4.381443299,7.989690722,28.865979381,12.169521434,0.337628866,60.847607168,33.466183942,25,21.296662509,565.882746661,136.907116128,9.127141075,0
2015,RICHLAND,16061,2266.4,5.8,0.802155794,0.783355267,0.658018425,0.582816319,0.012533684,0.006266842,0.507614213,0.419878423,0.137870527,0.169204738,0.244406843,0.376010528,48.354953939,49.088174469,49.351381839,0,24.905049499,25.433526012,2.89017341,7.514450867,0,0.329479769,149.430296993,74.715148496,31.213872832,112.072722745,1575.244380798,323.765643484,6.226262375,0
2015,ROCK ISLAND,146063,2646.8,6.3,6.154256848,6.321272605,1.346393418,1.398414719,0.023272687,0.020534724,1.17047928,1.314906841,0.29706901,0.273796323,4.973510206,5.452653771,42.185852944,42.86897477,49.320300628,0,12.32344947,1.244509517,1.830161054,16.764275256,0,0.308199122,260.161711042,40.39352882,49.34114202,62.986519516,1832.086154605,395.035019136,41.762800983,2.053908245
2015,ST. CLAIR,265729,2997.4,6.5,1.877609889,2.019950313,1.183275567,1.115692182,0.05625656,0.049082905,0.839317672,0.541799757,0.158197978,0.178586261,16.406904832,13.953514714,33.482092291,33.045631999,48.310415392,0,23.33204129,1.37505927,4.551920341,21.384542437,0,0.289710763,438.040259061,57.577456732,43.717401612,161.066349552,1634.7481833,552.066202786,118.541822684,12.042343892
2015,SALINE,24612,2389.1,7.7,0.861400286,0.832823025,0.943049602,1.004286589,0.016329863,0.061236987,0.371504389,0.257195346,0.22453562,0.212288222,1.526842213,2.49438661,46.242090222,47.58930394,49.328434374,0,28.441410694,36.842105263,4.605263158,26.315789474,0,0.144736842,227.531285552,12.189176012,17.763157895,121.891760117,1239.232894523,735.413619373,16.252234682,8.126117341
