Prop Female household no Children,Female Household with Children under 6,Prop Female Household with Children under 18,Prop Female Household,Prop Male Household No Children,Prop Male Household with children under 6,Prop Male Household with children under 18,Prop Male Household,Prop Other Family Type (Not Married),Prop Married no children under 18,Prop Married with children under 6,Prop Married with Children under 18,Prop Married-Couple Family,Prop Female Poverty 75+,Prop Female Poverty 65-74,Prop Female Poverty 55-64,Prop Female Poverty 45-54,Prop Female Poverty 35-44,Prop Female Poverty 25-34,Prop Female Poverty 18-24,Prop Female 17 and Under,Prop Female Poverty,Prop Male Poveryy 75+,Prop Male Poverty 65-74,Prop Male Poverty 55-64,Prop Male Poverty 45-54,Prop Male Poverty 35-44,Prop Male Poverty 25-34,Prop Male Poverty 18-24,Prop Male Poverty Under 17,Prop Male Poverty,Prop 3 Earner,Prop 2 Earner,Prop 1 Earner,Prop No Earners,County
5.627962085,0.987361769,6.832543444,12.460505529,3.515007899,0.868878357,3.060821485,6.575829384,19.036334913,56.654818325,4.561611374,24.308846761,80.963665087,0.838269811,0.547669610,0.799150553,0.402369509,0.838269811,0.815915949,1.028277635,1.838605119,7.108527998,0.290600201,0.195596289,0.665027383,0.625908126,0.296188667,0.374427182,0.301777132,2.056555270,4.806080250,6.338862559,41.844391785,30.746445498,21.070300158,HANCOCK
7.607497244,0.882028666,4.189636163,11.797133407,4.520396913,0.330760750,3.528114664,8.048511577,19.845644983,60.308710033,2.425578831,19.845644983,80.154355017,0.255427842,1.098339719,1.251596424,2.145593870,1.047254151,1.149425287,1.098339719,2.605363985,10.651340996,0.434227331,0.766283525,0.766283525,1.021711367,0.357598978,0.255427842,0.561941252,1.558109834,5.721583653,9.261300992,31.642778390,29.878721058,29.217199559,HARDIN
4.245754246,1.848151848,7.742257742,11.988011988,3.746253746,0.699300699,2.347652348,6.093906094,18.081918082,57.392607393,3.746253746,24.525474525,81.918081918,0.322533353,0.102624249,0.952939452,0.381175781,0.322533353,0.879636417,0.908957631,1.466060695,5.336460929,0.322533353,0.234569711,0.234569711,0.425157602,0.190587890,0.219909104,0.498460636,0.733030347,2.858818355,9.240759241,41.558441558,30.969030969,18.231768232,HENDERSON
5.229189586,1.708837550,6.791345801,12.020535387,2.449578291,0.828749542,3.806380638,6.255958929,18.276494316,51.983865053,5.075174184,29.739640631,81.723505684,0.534803357,0.396988646,0.637650156,0.608853052,0.641764028,0.868026987,0.798091163,1.991114037,6.477291427,0.164554879,0.250946191,0.565657397,0.372305414,0.606796117,0.621194668,0.802205035,2.036366628,5.420026329,10.781078108,41.356802347,29.240924092,18.621195453,HENRY
6.691028226,1.449092742,6.262600806,12.953629032,3.440020161,2.268145161,4.674899194,8.114919355,21.068548387,51.990927419,4.183467742,26.940524194,78.931451613,0.431315694,0.572671258,0.942370424,0.677781805,0.692279812,1.167089525,0.989488945,2.181949982,7.654947445,0.445813701,0.340703153,0.601667271,0.710402320,0.666908300,0.819137369,0.703153316,2.007973904,6.295759333,11.529737903,43.409778226,30.330141129,14.730342742,IROQUOIS
7.229301916,4.023403062,13.833453555,21.062755470,4.231786487,1.210226817,3.582591969,7.814378456,28.877133926,49.034222970,5.650396730,22.088643103,71.122866074,0.539704176,0.438394518,1.060988414,0.757059441,1.182560003,1.862255706,5.789386432,2.753780692,14.384129382,0.195251340,0.379450717,0.819687229,0.677853709,0.920996887,1.967249351,5.373095839,2.770358636,13.103943709,7.614009778,35.649595255,38.198284844,18.538110123,JACKSON
3.580146461,0.569568755,6.346623271,9.926769731,2.156224573,0.203417413,1.545972335,3.702196908,13.628966640,56.265256306,6.875508544,30.105777055,86.371033360,0.971288291,0.309531433,0.992635287,0.960614793,0.821859323,1.302166720,0.288184438,2.188067030,7.834347316,0.640409862,0.234816950,1.291493222,0.661756858,0.341551927,0.587042374,0.320204931,1.142064254,5.219340378,12.327095199,40.154597234,28.030919447,19.487388120,JASPER
7.385900570,3.799918500,10.411572942,17.797473513,3.473920130,1.823553382,5.022412388,8.496332518,26.293806031,49.266503667,4.421352893,24.439690302,73.706193969,0.529204785,0.526389866,0.729064039,0.892329346,1.131597467,1.762139338,1.187895848,3.667839550,10.426460239,0.219563688,0.413793103,0.557353976,0.937368051,0.641801548,1.030260380,0.667135820,3.467980296,7.935256861,9.270578647,36.460880196,35.931132844,18.337408313,JEFFERSON
5.657828070,1.199121770,7.025840230,12.683668299,2.567133930,0.236446546,1.384901199,3.952035129,16.635703428,52.085796318,5.472048640,31.278500253,83.364296572,0.255815055,0.530579374,0.554265953,0.601639111,0.596901795,0.942725852,0.810081008,1.463830594,5.755838742,0.487943531,0.270027003,0.298450898,0.232128476,0.374247951,0.345824056,0.502155479,0.942725852,3.453503245,10.572538423,47.120418848,25.857118730,16.449923999,JERSEY
4.435159891,1.076651133,5.543949863,9.979109754,2.072955166,0.851679254,2.555037763,4.627992929,14.607102684,61.079865017,4.756548289,24.313032300,85.392897316,0.666142388,0.420964981,0.823426007,0.342323172,0.504232780,0.638386455,0.638386455,1.008465560,5.042327798,0.360827127,0.157283619,0.249803395,0.582874589,0.397835037,0.157283619,0.342323172,1.036221492,3.284452052,10.846858428,42.744656918,27.237666720,19.170817933,JO DAVIESS
5.788096795,0.425114454,7.226945716,13.015042511,3.270111184,1.635055592,2.975801177,6.245912361,19.260954872,60.431654676,3.891432309,20.307390451,80.739045128,0.514263536,0.999417815,0.824762274,0.572482049,0.582185135,1.125557927,0.815059189,1.756258490,7.189986416,0.640403648,0.426935766,0.698622162,0.359014167,0.426935766,0.310498739,0.465748108,1.232291869,4.560450223,4.480052322,36.756049706,32.079790713,26.684107260,JOHNSON
6.649779301,1.351494835,8.626207775,15.275987077,3.361293552,1.020826065,3.455336964,6.816630516,22.092617592,41.870553794,7.427912691,36.036828613,77.907382408,0.259870008,0.300289994,0.436230798,0.417164767,0.805921147,0.810306334,0.618502058,1.935202186,5.583487292,0.093423554,0.183605882,0.412398259,0.375028837,0.477794747,0.447098436,0.410682316,1.984392547,4.384424578,16.817843979,44.297480547,28.217573983,10.667101491,KANE
