_POSITIVES_PER_1OOK,_DEATHS_PER_100k,COUNTY,_Percent C_Female,_Percent C_Male,_Percent C_SexUnkn,_Percent  C_Age_0_4,_Percent   C_Age_5_14,_Percent  C_Age_15_24,_Percent  C_Age_25_34,_Percent  C_Age_35_44,_Percent C_Age_45_54,_Percent   C_Age_55_64,_Percent   C_Age_65_74,_Percent   C_Age_75_84,_Percent   C_Age_85plus,_Percent   C_Age_Unkn,C_AgeMedian,_Percent   C_RaceWhite,_Percent   C_RaceBlack,_Percent   C_RaceOther,_Percent   C_RaceUnknown,_Percent   C_HispanicYES,_Percent   C_HispanicNO,_Percent   C_HispanicUnk,_Percent   C_EDYes_Res,_Percent   C_EDYes_NonRes,_Percent   C_HospYes_Res,_Percent   C_HospYes_NonRes,Percent  C_Men,Percent  C_Women,Percent  C_FLRes,Percent  C_NotFLRes,Percent  C_FLResOut,_PUI_Percent_Age_0_4,_PUI_Percent_Age_5_14,_PUI_Percent_Age_15_24,_PUI_Percent_Age_25_34,_PUI_Percent_Age_35_44,_PUI_Percent_Age_45_54,_PUI_Percent_Age_55_64,_PUI_Percent_Age_65_74,_PUI_Percent_Age_75_84,_PUI_Percent_Age_85plus,_PUI_Percent_Age_Unkn,PUIAgeMedian,_PUIFemale_Percent,_PUIMale_Percent,PUIAgeAvrg,TPositive,Deaths,_POP_PERCENT_MALE,_POP_TOT_FEMALE,_POP_TOT_WHITE,_POP_TOT_BLACK,_POP_TOT_AMERICAN_INDIAN,_POP_TOT_ASAIN,_POP_TOT_NATIVE_HAWAIIN_PI,_POP_TOT_MIXED_RACE,_POP_TOT_HISPANIC
73,3,HERNANDO,47.8,52.2, -,0.7,4.5,6.7,23.9,13.4,14.9,20.1,11.9,6.7,1.5, -,46,81.3,12.7,4.5,1.5,22.4,74.6,3,32.1,1.4,20.1,1.4,51.4,48.6,95.7,4.3, -,1.891117479,1.690544413,6.962750716,13.467048711,12.464183381,15.243553009,18.997134670,15.415472779,10.573065903,3.724928367,0.114613181,54,60.143061516,39.856938484,66,140,5,48.188510204,51.811489796,89.803264087,5.978571241,0.486207529,1.444476462,0.086972467,2.200508213,14.182275430
229,10,PINELLAS,58.4,41.5,0.1,0.9,3.8,10.1,20.1,13.7,13.9,13.7,10.6,8.4,7.2, -,46,54.5,25.1,6.2,14.2,9.4,72.1,18.5,23.1,0.9,21.1,0.8,41.9,58,97.7,2.3, -,0.950901858,1.277859517,5.847092801,11.721432075,11.495286360,14.555065119,19.612010245,18.148874721,11.072966051,5.980600512,0.217971773,57,58.284600390,41.715399610,411,2235,102,47.968583381,52.031416619,82.612583053,11.052518251,0.387478468,3.591789025,0.116684439,2.238946764,10.006562218
444,41,SUWANNEE,68.1,31.9, -,1,4.2,9.4,11,14.1,14.1,11.5,11,15.7,10.5, -,52,62.8,23.6,4.7,8.9,15.7,77,7.3,17.8,0.5,20.9, -,32.1,67.9,97.4,2.6, -,2.590673575,2.260951484,7.536504946,12.764955252,11.446066886,11.822892134,16.156382478,14.083843618,11.116344795,9.985869053,0.471031559,56,66.666666667,33.333333333,110,196,18,51.465230477,48.534769523,84.130252766,12.783145889,0.746758390,0.685659976,0.085990360,1.568192618,9.630920323
209,6,DUVAL,54.1,45.9, -,1.7,2.9,11.3,18.6,16.9,15.5,16.6,11.1,5.9,3.3,0.1,45,43.3,33.9,15.7,7.1,18.7,71.8,9.6,21.5,1.1,15.8,0.6,46.1,53.8,96.3,3.7, -,1.629598398,2.112364288,8.847897122,15.899652156,14.706440392,15.644566249,18.317697902,13.500579741,6.918941710,3.453146411,0.231896279,49,56.220788834,43.779211166,454,1990,57,48.457504412,51.542495588,60.802310297,30.573648600,0.452650600,5.064298276,0.121871517,2.985220711,10.136595028
149,0,LAFAYETTE,38.5,61.5, -, -, -,23.1,23.1,0,15.4,7.7,15.4, -,15.4, -,46,92.3,7.7, -, -,23.1,69.2,7.7,23.1, -,7.7, -,61.5,38.5,100, -, -,1.453488372,0,12.5,11.918604651,11.046511628,9.883720930,10.465116279,13.662790698,15.988372093,12.790697674,0.290697674,59,65.578635015,34.421364985,0,13,0,57.100320660,42.899679340,83.886852955,13.502061383,0.813101237,0.297755383,0.114521301,1.385707742,14.246449840
49,0,GULF,42.9,57.1, -, -,14.3,0,14.3,28.6,42.9,0,14.3, -, -, -,44,71.4,0,28.6, -,28.6,71.4, -,14.3,12.5, -,12.5,62.5,37.5,87.5,12.5, -,1.824817518,1.824817518,6.569343066,10.401459854,11.496350365,18.248175182,22.445255474,21.897810219,11.861313869,3.467153285,0,56,59.5,40.5,1,8,0,58.531304133,41.468695867,79.819351646,17.044048503,0.661964860,0.476367236,0.024746350,1.973521406,4.621380846
254,7,UNION,15.8,84.2, -, -, -,0,13.2,2.6,5.3,44.7,28.9,5.3, -, -,62,63.2,28.9,5.3,2.6,2.6,94.7,2.6,21.1, -,21.1, -,84.2,15.8,100, -, -,0.945017182,1.460481100,4.639175258,6.443298969,9.278350515,11.855670103,34.278350515,23.797250859,6.099656357,1.202749141,0,59,27.312013829,72.687986171,4,38,1,64.410977242,35.589022758,74.283801874,22.650602410,0.528781794,0.742971888,0.040160643,1.753681392,5.709504685
188,7,BRADFORD,78.8,21.2, -, -,3.8,5.8,5.8,13.5,9.6,5.8,11.5,23.1,21.2, -,70,88.5,9.6,1.9, -, -,100, -,7.7, -,21.2, -,21.2,78.8,100, -, -,1.230348599,1.708817498,7.928913192,12.645249487,11.483253589,15.105946685,19.685577580,12.918660287,9.979494190,7.040328093,0.410116200,54,63.611111111,36.388888889,34,52,2,55.235828646,44.764171354,76.741670273,20.052646762,0.497620078,0.602192413,0.054089139,2.051781336,4.269436031
108,3,WAKULLA,69.7,30.3, -, -, -,15.2,15.2,15.2,30.3,15.2,9.1,3,3, -,46,51.5,39.4,9.1, -, -,100, -,18.2, -,15.2, -,28.6,71.4,94.3,5.7, -,1.041666667,2.323717949,6.971153846,10.977564103,13.461538462,17.067307692,19.631410256,17.067307692,8.573717949,3.125,0.080128205,53,56.970185334,43.029814666,13,35,1,53.377899633,46.622100367,83.164412680,13.101876097,0.739348757,0.739348757,0.092418595,2.162595114,3.767598041
91,3,BREVARD,53.2,46.8, -,1.7,3,11.8,13.3,13.7,15.2,19.7,11.4,7.1,5.2, -,50,75.1,11.8,6.7,6.4,24.3,68.4,7.3,25.3,0.4,14.4,0.4,46.4,53.6,98,2, -,1.324914605,1.749301315,5.397991926,9.403788428,10.676948556,13.906427906,22.746092537,20.355035711,10.873615568,2.877548908,0.776317151,58,57.228258044,42.771741956,107,545,15,48.907345074,51.092654926,83.244338183,10.725660929,0.462093427,2.640366324,0.133702159,2.793838978,10.716445868
207,11,POLK,59.4,40.5,0.1,1.1,2.7,10.2,13.2,15.8,14.7,13.6,12.1,10.1,7.4, -,49,63.4,18,13,5.6,30.8,60.2,8.9,35.2,0.5,25.9,0.2,40.5,59.4,99.1,0.9, -,2.357903845,2.552593153,7.165648153,12.308690714,12.844086312,14.477313288,16.435022443,16.045643827,10.215780650,4.261532637,1.833324320,53,58.636808349,41.363191651,231,1466,75,49.000648297,50.999351703,78.916510948,16.123241371,0.667364398,1.940229573,0.110168091,2.242485618,23.619615005
