Deaths,_DEATHS_PER_100k,_POSITIVES_PER_1OOK,COUNTY,TPositive,Beaches_Per_County,_POP_PER_SQUARE_MILE,_%_GDP_of_State_GDP,_POP_PERCENT_MALE,_POP_TOT_FEMALE,_POP_TOT_WHITE,_POP_TOT_BLACK,_POP_TOT_AMERICAN_INDIAN,_POP_TOT_ASAIN,_POP_TOT_NATIVE_HAWAIIN_PI,_POP_TOT_MIXED_RACE,_POP_TOT_HISPANIC,_POP_%_State_Total,POP_%_0_4,_POP_%_5_9,_POP_%_10_14,_POP_%_15_19,_POP_%_20_24,_POP_%_25_29,_POP_%_30_34,_POP_%_35_39,_POP_%_40_44,_POP_%_45_49,_POP_%_50_54,_POP_%_55_59,_POP_%_60_64,_POP_%_65_69,_POP_%_70_74,_POP_%_75_79,_POP_%_80_84,_POP_%_80_Plus
18,11,794,MIAMI-DADE,21917,14,1458.838352,15.77372255,48.54892904,51.45107096,78.83531209,17.94758148,0.279079267,1.657311518,0.04663995,1.234075698,69.05935404,12.9655799,5.773649225,5.480447613,5.578181484,5.701444209,6.073839587,7.16372252,7.105603638,6.809287868,6.937764998,7.332647494,7.334820163,6.783360691,5.698583529,4.829624769,3.872310825,3.007118024,2.188601384,2.32899198
4,5,172,MONROE,129,23,76.63636364,0.460174513,51.987951,48.012049,89.28385781,6.862862703,0.51714716,1.426153251,0.10262972,1.807349354,24.94835193,0.352250599,4.621003106,4.071867461,4.14384155,3.769309715,4.700974316,6.168446026,6.192437389,6.084476255,6.119130446,6.780225785,7.74387887,8.398309942,8.193050502,7.73988031,6.331054154,4.299785411,2.345822171,2.296506591
1,1,107,NASSAU,92,4,132.4567901,0.239314781,49.22872588,50.77127412,90.60257247,6.045530804,0.499813589,1.024093578,0.083884798,1.744104763,4.478516171,0.402979907,5.085515892,5.500279616,5.670379346,5.397753752,4.639295368,5.760089477,5.746108677,5.811352409,5.476978283,6.371749464,6.829620654,7.65681797,7.868860099,7.438950508,6.426507596,3.976372449,2.297511418,2.045857023
6,3,160,OKALOOSA,332,7,222.8698925,1.136954649,50.65735831,49.34264169,81.12259913,10.3435632,0.726109548,3.25567258,0.230135717,4.321919824,9.694165553,0.973124735,6.564898755,6.340552615,5.941071747,5.427729183,6.821570037,8.406466958,7.652856915,6.650777492,5.477423059,5.328823896,5.951203508,7.104776884,6.319324163,5.215444664,4.157881786,2.851849529,2.043720962,1.743627846
0,0,441,OKEECHOBEE,183,0,54.01430429,0.124519275,53.66059176,46.33940824,86.79249826,9.049762862,1.557647399,1.023184149,0.142042035,1.434865301,25.45441414,0.19501557,6.025952765,5.696126345,5.845390856,5.975395431,5.515564437,6.952837229,6.331704264,6.095770036,6.158364831,6.261886992,6.408744011,6.62301081,6.324481787,5.436117197,5.139995667,4.167368852,2.773430917,2.267857573
46,3,227,ORANGE,3130,0,1528.953488,9.48711041,49.06004078,50.93995922,68.1109916,22.70120125,0.567271094,5.704435246,0.200775724,2.715325084,32.33010658,6.482106827,6.096788095,6.122500715,6.236143252,6.531802165,7.595073317,8.941183288,7.949690181,7.475708817,6.826447059,6.710414335,6.367313828,6.068902578,5.140133778,4.090841599,3.134332142,2.003918458,1.328074922,1.38073147
21,6,228,OSCEOLA,838,0,277.1009036,0.905543012,49.31193782,50.68806218,79.37688524,13.85336558,0.814967798,2.898720074,0.257072203,2.798989103,55.28546971,1.727707333,6.245821897,6.677627109,7.174379739,6.928449143,6.612407946,7.388787739,7.196934699,7.437430365,7.125193619,6.821924509,6.417293948,5.765645806,4.999864127,4.380553819,3.631620424,2.428326857,1.480746759,1.286991494
426,29,594,PALM BEACH,8833,18,753.5197769,7.814321073,48.50542518,51.49457482,74.84092572,19.70212815,0.586497041,2.930870068,0.109223717,1.83035531,22.91948334,6.976469912,5.086070039,5.134254994,5.503717846,5.512264619,5.363941099,6.103674372,5.846800108,5.79060676,5.667519774,6.276696046,6.512304324,6.897985855,6.39567789,5.903060754,5.694102256,4.656039506,3.401346352,4.253937404
15,3,97,PASCO,521,0,722.3962517,1.215162165,48.62702222,51.37297778,87.93061913,6.466097141,0.477734744,2.702407205,0.104145433,2.318996349,15.79081964,2.533554467,5.20134166,5.574745659,5.968163371,5.619035265,4.935789337,5.541760095,5.576413468,6.085280655,6.016529845,6.651594611,6.704593888,6.974964327,6.522246725,6.352871412,6.042288235,4.551266609,2.93034116,2.750773678
102,10,229,PINELLAS,2235,16,3559.416058,5.070480839,47.96858338,52.03141662,82.61258305,11.05251825,0.387478468,3.591789025,0.116684439,2.238946764,10.00656222,4.578924449,4.33701091,4.379870396,4.630772701,4.540644738,4.886904274,6.310187843,5.836887868,5.6585801,5.282688049,6.261278812,7.035107866,8.142379624,7.921109835,7.10278074,6.201706177,4.576531868,3.132843901,3.762714297
75,11,207,POLK,1466,0,393.7758621,2.431050287,49.0006483,50.9993517,78.91651095,16.12324137,0.667364398,1.940229573,0.110168091,2.242485618,23.61961501,3.324091256,5.776903966,6.050911782,6.443985882,6.260513638,5.949924365,6.850619131,6.239186225,6.169130618,5.755435312,6.063199762,5.948653195,6.186220797,6.08777572,5.869275673,5.459535119,4.023112701,2.59756585,2.268050265
6,8,256,PUTNAM,190,0,102.0123796,0.217310172,49.48424417,50.51575584,80.36082683,16.37743889,0.718687216,0.666100347,0.136186508,1.740760217,10.21803325,0.348194133,5.81556841,5.874897186,6.216037647,5.493305287,5.024068606,6.073109232,5.144074539,5.106319863,4.811024365,5.584995213,6.248398797,7.830050025,7.58059949,7.443064601,6.004341788,4.53999973,2.706201205,2.503944015
9,5,162,SANTA ROSA,291,5,423.063228,0.79558344,50.96432096,49.03567904,87.04648479,6.461145588,0.877618498,2.152228337,0.170059493,3.292463298,5.701174804,0.842040769,5.643744877,5.940930811,6.484563616,5.992227445,5.571818075,6.959615052,7.000875388,6.656853398,6.230310735,6.733240776,6.897724548,7.523878026,6.392564218,5.436885625,4.325644414,2.971301764,1.825491082,1.41233015
91,21,180,SARASOTA,767,9,561.4125874,0.898668579,47.65254805,52.34745195,91.52695691,4.776222236,0.319180349,1.781973106,0.061867557,1.53379984,9.338251492,2.003434381,3.532309394,3.791262614,4.246598456,4.274720073,4.001471698,4.363303165,4.015298159,4.184965246,4.209102967,5.182345249,5.901321247,7.380752628,8.239164975,9.192956472,9.287866929,7.399031679,5.124695935,5.672833112
13,3,162,SEMINOLE,759,0,177.3976261,0.414804314,48.31007712,51.68992288,78.93816584,12.9230151,0.437977736,4.872903093,0.121411105,2.706527129,21.98118128,2.196463972,5.29997948,5.728124626,6.215906565,5.930120214,6.138100857,7.412917458,7.117084765,7.218830691,6.63293661,6.965748388,6.832367175,6.871056277,6.132757058,5.067203612,4.066417004,2.64282905,1.710870569,2.016749602
6,2,121,ST. JOHNS,307,7,767.4784173,1.926216612,48.77547087,51.22452913,88.7816063,5.538403452,0.315817211,3.189635847,0.08573867,2.088798518,7.202834882,1.193751445,4.944918804,5.980075592,6.747397359,6.404442679,4.605503793,4.512685784,5.218259977,6.414275095,6.527544531,7.154066097,6.944045685,7.300765749,6.999107217,6.708067694,5.624142122,3.613609637,2.108856647,2.192235537
36,11,275,ST. LUCIE,883,3,1514.019417,2.138723937,48.88237712,51.11762288,74.05613961,20.99162951,0.562081164,1.981452879,0.107433796,2.301263048,19.54890262,1.507690971,5.041603348,5.327470666,5.84906953,5.529570763,5.193567674,5.948406866,5.488465659,5.576281109,5.452031589,5.955569119,6.463466281,7.032086894,7.007797514,6.821267532,6.318352806,4.791858698,3.149834334,3.053299619
17,13,207,SUMTER,266,0,235.3820841,0.268675848,49.85786849,50.14213151,90.11914193,7.460739084,0.403094273,0.953756776,0.068347391,0.994920546,5.74972428,0.60449803,1.959550771,1.948677323,2.040324961,1.782468894,2.389051991,2.82010656,3.022818709,3.072525902,2.806126412,3.135436569,3.534647467,5.074017118,8.826910232,15.11487022,17.94585023,13.38210852,6.815322242,4.329185889
18,41,444,SUWANNEE,196,0,64.13788099,0.117870609,51.46523048,48.53476952,84.13025277,12.78314589,0.74675839,0.685659976,0.08599036,1.568192618,9.630920323,0.207476059,5.392500735,5.983118735,6.204883347,5.700255708,5.469439479,6.410807631,6.028376819,5.729673463,5.172999027,5.987644543,6.385915684,6.95843045,7.209612817,6.451539906,5.469439479,4.136588898,2.690593107,2.618180172
0,0,250,TAYLOR,54,0,20.73154362,0.092605678,54.56227166,45.43772835,76.37700597,19.62262406,0.975812792,0.846321047,0.055496462,2.122739675,4.50446284,0.101519649,5.679137955,5.882624983,5.489525043,4.772695741,5.545021505,7.903621144,6.719696619,5.868750867,5.790130879,6.146233178,6.358969616,6.539333118,6.86306248,6.317347269,5.67451325,3.838505295,2.626832539,1.98399852
